[Server][15-30-44<->20:11:119]Waiting @ port 3000...
[Server][15-31-23<->20:11:119]Waiting @ port 3000...
[Thread - 0][15-31-23<->20:11:119]Waiting for message...
[Thread - 0][15-31-23<->20:11:119]Received message from client.
[Thread - 0][15-31-23<->20:11:119]Received message from client.
[Thread - 0][15-31-23<->20:11:119]Writing message to client.
[Thread - 0][15-31-23<->20:11:119]Wrote message to client.
[Thread - 0][15-31-28<->20:11:119]Received message from client.
[Thread - 0][15-31-28<->20:11:119]Received message from client.
[Thread - 0][15-31-28<->20:11:119]Writing message to client.
[Thread - 0][15-31-28<->20:11:119]Wrote message to client.
[Thread - 0][15-31-31<->20:11:119]Received message from client.
[Thread - 0][15-31-31<->20:11:119]Received message from client.
[Thread - 0][15-31-31<->20:11:119]Writing message to client.
[Thread - 0][15-31-31<->20:11:119]Wrote message to client.
[Thread - 0][15-31-37<->20:11:119]Received message from client.
