[Server][19-32-28<->15:11:119]Waiting @ port 3000...
[Server][19-32-32<->15:11:119]Waiting @ port 3000...
[Thread - 2][19-33-38<->15:11:119]Writing message to client.
[Thread - 2][19-33-38<->15:11:119]Wrote message to client.
[Thread - 1][19-33-39<->15:11:119]Received message from client.
[Thread - 1][19-33-39<->15:11:119]Writing message to client.
[Thread - 1][19-33-39<->15:11:119]Wrote message to client.
[Thread - 1][19-33-39<->15:11:119]Writing message to client.
[Thread - 1][19-33-39<->15:11:119]Wrote message to client.
[Thread - 1][19-33-42<->15:11:119]Received message from client.
[Thread - 1][19-33-42<->15:11:119]Writing message to client.
[Thread - 1][19-33-42<->15:11:119]Wrote message to client.
[Thread - 1][19-33-42<->15:11:119]Writing message to client.
[Thread - 1][19-33-42<->15:11:119]Wrote message to client.
[Thread - 2][19-33-44<->15:11:119]Received message from client.
[Thread - 2][19-33-44<->15:11:119]Writing message to client.
[Thread - 2][19-33-44<->15:11:119]Wrote message to client.
[Thread - 2][19-33-44<->15:11:119]Writing message to client.
[Thread - 2][19-33-44<->15:11:119]Wrote message to client.
[Thread - 2][19-33-47<->15:11:119]Received message from client.
[Thread - 1][19-33-48<->15:11:119]Received message from client.
